Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9,Explanatory10,Explanatory11,Explanatory12,Explanatory13,Explanatory14,Explanatory15,Explanatory16,Explanatory17
-132.415,-64.421,-199.686,125.282,-155.423,90.941,45.772,22.143,-78.83,-44.053,194.529,-100.022,-172.464,28.39,-121.615,-233.46,91.121,-92.866
-129.393,-5.491,-199.255,52.627,-158.141,39.42,32.173,-1.272,-87.999,-25.535,185.226,-119.211,-176.77,20.417,-32.546,-180.824,95.745,-124.56
-127.207,-49.83,-200.789,35.147,-149.178,88.148,43.926,42.214,-83.51,9.002,192.68,-105.216,-181.777,32.194,-27.142,-169.067,92.537,-158.297
-128.131,-45.188,-198.574,67.818,-138.199,41.869,32.472,0.149,-73.335,-38.134,201.783,-92.848,-164.984,32.26,-34.916,-207.556,89.67,-153.196
-120.518,-22.702,-199.321,-60.08,-126.324,83.489,45.625,12.381,-90.303,20.711,170.008,-86.85,-165.272,30.569,-30.632,-227.279,75.548,-115.537
-129.318,2.068,-200.1,17.749,-159.054,69.779,34.709,15.592,-85.06,2.202,190.175,-80.072,-161.036,38.965,-15.941,-205.825,96.192,-80.816
-131.188,-64.806,-199.944,64.416,-189.047,48.738,32.925,25.969,-80.462,9.563,191.436,-27.801,-147.882,16.83,-17.68,-220.986,80.218,-110.547
-148.917,-1.034,-199.273,45.336,-144.112,100.114,34.572,5.51,-85.962,-2.31,214.164,-121.123,-157.583,37.077,10.959,-234.487,90.235,-67.545
-137.137,10.696,-199.166,50.787,-135.393,98.109,49.31,-5.335,-87.163,-61.799,206.85,-86.038,-165.903,16.496,-10.146,-192.192,94.929,-113.92
-119.585,-18.426,-199.444,103.716,-153.103,64.69,45.096,22.651,-89.986,-1.54,196.607,-76.227,-167.339,40.081,-38.379,-234.13,85.444,-95.931
-117.54,-61.884,-199.305,100.607,-141.431,92.931,34.662,4.394,-92.244,26.186,190.279,-72.428,-164.071,32.393,-15.327,-206.903,93.056,-83.773
-136.656,-35.418,-200.397,37.766,-124.533,78.412,56.283,35.576,-86.945,-22.83,184.707,-60.042,-158.303,24.051,-36.319,-175.033,100.704,-165.602
-139.441,-51.728,-197.823,50.63,-166.34,62.644,47.116,29.325,-85.323,15.416,202.353,-139.645,-173.037,36.321,-63.238,-178.592,88.312,-110.48
-152.352,-65.22,-199.493,67.656,-129.251,102.314,40.464,40.136,-89.902,-26.02,197.725,-82.864,-153.329,20.275,35.434,-134.21,87.01,-147.712
-148.893,-20.847,-199.799,74.184,-150.811,60.714,23.879,-15.756,-85.068,4.503,195.892,-60.51,-150.163,28.785,-49.892,-199.38,99.656,-105.279
-138.46,-58.787,-199.636,94.032,-163.506,82.003,30.64,14.844,-83.761,16.473,205.612,-58.198,-161.007,24.121,-40.684,-218.749,97.831,-143.002
-134.088,-16.407,-199.632,61.037,-150.003,74.967,51.441,11.235,-88.373,3.436,206.869,17.548,-156.879,18.631,-22.321,-219.997,104.363,-139.419
